Year,Place,P (Blank or P),Governing Body,Type of Governing Body,5+,Description,Verified,Specific,Reception,Protection,Contact Through Trade,Partial Emancipation,Symbolic,Full Emancipation,Invited,Success Altering Country,Bribe Ends Expulsion,Leader Ends Expulsion,Conquer Country,Self Governing,Noted Holding IP,Brought in for Economic Growth,Laws Protecting Israel/Jews
1147,"Belitz, Germany",P,,,,,,,,,,,,,,,,,,,,,
1147,Wurzburg,P,,,,,,,,,,,,,,,,,,,,,
1148,"Lucena, Cordoba",P,,,,,,,,,,,,,,,,,,,,,
1148,Morocco,P,,,,,,,,,,,,,,,,,,,,,
1148,"Granada, al-Andalus; Granada, Spain",P,,,,,,,,,,,,,,,,,,,,,
1156,"Bari, Italy",P,,,,,,,,,,,,,,,,,,,,,
1156,"Lanciano, the Abruzzo, Italy",P,,,,,,,,,,,,,,,,,,,,,
1160,,,,,,"Appalled by the annual practice of beating Jews during Palm Sunday, Bishop William issues an order which would excommunicate any priest who continues the practice.[55]																									",,,,,,,,,,,,,,,,,
1165,Yemen,P,,,,,,,,,,,,,,,,,,,,,
1165,"Fez, Egypt",P,,,,,,,,,,,,,,,,,,,,,
1168,"Gloucester, England",P,,,,,,,,,,,,,,,,,,,,,
1171,"Bologna, Italy",P,,,,,,,,,,,,,,,,,,,,,
1171,"Blois, France",P,,,,,,,,,,,,,,,,,,,,,
1173,Poland,,,,,"Following multiple church-inspired riots against the Jews of Poland, Mieszko III forbids all kinds of violence against the Jews.",,,,,,,,,,,,,,,,,
1177,"Teruel, Spain",P,,,,,,,,,,,,,,,,,,,,,
1179,Rome,P,,,,,,,,,,,,,,,,,,,,,
1179,"Boppard, Germany",P,,,,,,,,,,,,,,,,,,,,,
1180,France,P,,,,,,,,,,,,,,,,,,,,,
1181,England,P,,,,,,,,,,,,,,,,,,,,,
1182,France,P,,,,,,,,,,,,,,,,,,,,,
1182,"Orléans, France",P,,,,,,,,,,,,,,,,,,,,,
1182,Germany,P,,,,,,,,,,,,,,,,,,,,,
1184,Southern Levant,P,,,,,,,,,,,,,,,,,,,,,
1189,"London, England",P,,,,,,,,,,,,,,,,,,,,,
1189,Holy Roman Empire,,,,,Holy Roman Emperor Frederick I Barbarossa orders priests not to preach against Jews.,,,,,,,,,,,,,,,,,
1190,Jerusalem,,,,,Saladdin takes over Jerusalem from Crusaders and lifts the ban for Jews to live there.,,,,,,,,,,,,,,,,,
1190,England,P,,,,,,,,,,,,,,,,,,,,,
1190,Norwich,P,,,,,,,,,,,,,,,,,,,,,
1190,"Burry St. Edmunds, England",P,,,,,,,,,,,,,,,,,,,,,
1190,York,P,,,,,,,,,,,,,,,,,,,,,
1191,"Bray-sur-Seine, France",P,,,,,,,,,,,,,,,,,,,,,
1194,Present day Italy,,,,,"**Event:** Pope Calixtus II issues the bull Sicut Judaeis, providing protection to Jews.
- **Why:** Papal protection against assaults on Jews.",,,,,,,,,,,,,,,,,
1194,Present day Austria,,,,,"The first reliable evidence of a permanent Jewish settlement is the appointment (1194) of Shlom the Mintmaster. During the reign of Frederick I of Babenberg (1195–98) there was an influx of Jews from Bavaria and the Rhineland. A synagogue is recorded in Vienna in 1204. By then, Jews were also living in *Klosterneuburg, *Krems, Tulln, and *Wiener Neustadt. In the 13th century, Austria became a center of Jewish learning and leadership for the German and western Slavonic lands. Prominent scholars included *Isaac b. Moses, author of Or Zaru'a, *Avigdor b. Elijah ha-Kohen, and Moses b. Ḥasdai *Taku. At this time, Jews held important positions, administering the taxes and mints, and in trade.",,,,,,,,,,,,,,,,,
1195,France,P,,,,,,,,,,,,,,,,,,,,,
1195,"Speyer, Germany",P,,,,,,,,,,,,,,,,,,,,,
1196,"Boppard, Germany",P,,,,,,,,,,,,,,,,,,,,,
1198,Yemen,P,,,,,,,,,,,,,,,,,,,,,
1198,France[18][9],,,,,"When the Jews were permitted to return to the kingdom of France in 1198, they settled in Paris in and around the present Rue Ferdinand Duval, which, coincidentally, became the Jewish quarter once again in the modern era (source JVL) Paris								Philip Augustus readmits Jews to Paris, only after another ransom was paid and a taxation scheme was set up to procure funds for himself. | In July 1198, Philip Augustus, ""contrary to the general expectation and despite his own edict, recalled the Jews to Paris and made the churches of God suffer great persecutions"" (Rigord).| When the Jews were permitted to return to the kingdom of France in 1198, they settled in Paris in and around the present Rue Ferdinand Duval, which, coincidentally, became the Jewish quarter once again in the modern era. (JVL)																			",,,,,,,,,,,,,,,,,
1203,Constantinople,P,,,,,,,,,,,,,,,,,,,,,
1205,Spain,P,,,,,,,,,,,,,,,,,,,,,
1206,"Halle, Germany",P,,,,,,,,,,,,,,,,,,,,,
1209,Béziers,P,,,,,,,,,,,,,,,,,,,,,
1209,"Toulouse, France",P,,,,,,,,,,,,,,,,,,,,,
1210,England,P,,,,,,,,,,,,,,,,,,,,,
1212,"Toledo, Spain",P,,,,,,,,,,,,,,,,,,,,,
1215,Rome,,,,,"Pope Innocent III also reiterated papal injunctions against forcible conversions, and added: ""No Christian shall do the Jews any personal injury...or deprive them of their possessions...or disturb them during the celebration of their festivals...or extort money from them by threatening to exhume their dead."" NOTE THIS HAD LESS THAN EMANCIPATORY CLAUSES AS WELL",,,,,,,,,,,,,,,,,
1215,Rome,P,,,,,,,,,,,,,,,,,,,,,
1217,"Toulouse, France",P,,,,,,,,,,,,,,,,,,,,,
1218,England,P,,,,,,,,,,,,,,,,,,,,,
1219,Bukhara,P,,,,,,,,,,,,,,,,,,,,,
1220,Egypt,P,,,,,,,,,,,,,,,,,,,,,
1220,Syria,P,,,,,,,,,,,,,,,,,,,,,
1220,Turkey,P,,,,,,,,,,,,,,,,,,,,,
1220,Iraq,P,,,,,,,,,,,,,,,,,,,,,
1221,Erfurt,P,,,,,,,,,,,,,,,,,,,,,
1223,"Normandy, France",P,,,,,,,,,,,,,,,,,,,,,
1225,"High Wycombe, England",P,,,,,,,,,,,,,,,,,,,,,
1225,"Pavia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1225,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
1225,"Cremona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1227,"Narbonne, France",P,,,,,,,,,,,,,,,,,,,,,
1229,"Jaffa, Jerusalem",P,,,,,,,,,,,,,,,,,,,,,
1229,"Toulouse, France",P,,,,,,,,,,,,,,,,,,,,,
1230,"Klokotnitsa, Bulgaria",P,,,,,,,,,,,,,,,,,,,,,
1231,Rome,P,,,,,,,,,,,,,,,,,,,,,
1231,"Leicester, England",P,,,,,,,,,,,,,,,,,,,,,
1232,Marrakesh,P,,,,,,,,,,,,,,,,,,,,,
1234,"Warwick, England",P,,,,,,,,,,,,,,,,,,,,,
1234,"Warwick, England",P,,,,,,,,,,,,,,,,,,,,,
1234,"Newcastle-upon-Tyne, England",P,,,,,,,,,,,,,,,,,,,,,
1235,"Fulda, Germany",P,,,,,,,,,,,,,,,,,,,,,
1236,"Anjou, France",P,,,,,,,,,,,,,,,,,,,,,
1236,"Poitou, France",P,,,,,,,,,,,,,,,,,,,,,
1236,"Narbonne, France",,,,,"A Jew and a Christian fisherman get into a heated argument about prices, which turns physical. It ends when the Jew deals a devastating blow to the Gentile's head which leads to his death. This enrages the local Christian population, who attack the Jewish quarter of Narbonne. Don Aymeric, the governor of Narbonne prevents a massacre and restores all stolen Jewish property to their rightful owner.[71][72]|Forced Conversion/Massacre																									",,,,,,,,,,,,,,,,,
1236,"Southhampton, England",P,,,,,,,,,,,,,,,,,,,,,
1236,Rome,,,,,"Pope Gregory IX condemns excesses of the fifth Crusade, in its violence against Jews",,,,,,,,,,,,,,,,,
1237,"Northamptonshire, England",P,,,,,,,,,,,,,,,,,,,,,
1238,Present day Austria,,,,,"Frederick II of Hohenstaufen granted the Jews of Vienna a charter in 1238. In 1244 Duke Frederick II of Babenberg granted the charter known as the ""Fredericianum"" to the Jews in the whole of Austria. It became the model for similar privilegia granted to the Jews of Bohemia, Hungary, and Poland during the 13th century. ",,,,,,,,,,,,,,,,,
1239,London,P,,,,,,,,,,,,,,,,,,,,,
1240,"Brittany, France",P,,,,,,,,,,,,,,,,,,,,,
1240,Austria,P,,,,,,,,,,,,,,,,,,,,,
1240,Spain,P,,,,,,,,,,,,,,,,,,,,,
1241,"Frankfurt, Germany",P,,,,,,,,,,,,,,,,,,,,,
1241,England,P,,,,,,,,,,,,,,,,,,,,,
1242,Aragon,P,,,,,,,,,,,,,,,,,,,,,
1242,"Berkhamstead, England",P,,,,,,,,,,,,,,,,,,,,,
1243,"Newbury, England",P,,,,,,,,,,,,,,,,,,,,,
1243,"Kitzingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1243,Beelitz,P,,,,,,,,,,,,,,,,,,,,,
1244,"Speenhamland, England",P,,,,,,,,,,,,,,,,,,,,,
1244,Oxford,P,,,,,,,,,,,,,,,,,,,,,
1247,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1247,"S. Anna, Italy",P,,,,,,,,,,,,,,,,,,,,,
1247,"Trani, Italy",P,,,,,,,,,,,,,,,,,,,,,
1248,"Tlemcen, Algeria",,,,,"1248. Tlemcen, the gate to the Mediterranean and a final station on the Sudanese gold route, known as the “Jewish Road,” had a small but lively community, which was sustained by the wealthy Jewish merchants of Barcelona, Valencia, Tortosa, and Majorca. Most of these merchants were natives of the Maghreb and were particularly favored by the kings of Aragon, who relied on them as essential to their prosperity. Their relatives had remained in the Maghreb, settling at Algiers, Cherchel, Tenes, Mostaganem, and Tlemcen. ",,,,,,,,,,,,,,,,,
1249,Poitou,P,,,,,,,,,,,,,,,,,,,,,
1250,Saragossa,P,,,,,,,,,,,,,,,,,,,,,
1253,England,P,,,,,,,,,,,,,,,,,,,,,
1253,"Vienne, France",P,,,,,,,,,,,,,,,,,,,,,
1254,France,P,,,,,,,,,,,,,,,,,,,,,
1255,England,P,,,,,,,,,,,,,,,,,,,,,
1260,"Naples, Italy ",P,,,,,,,,,,,,,,,,,,,,,
1260,Cave of the Patriarchs,P,,,,,,,,,,,,,,,,,,,,,
1260,Syria,P,,,,,,,,,,,,,,,,,,,,,
1261,"Derby, England",P,,,,,,,,,,,,,,,,,,,,,
1261,Canterbury,P,,,,,,,,,,,,,,,,,,,,,
1261,"Brabant, Netherlands",P,,,,,,,,,,,,,,,,,,,,,
1263,Barcelona,P,,,,,,,,,,,,,,,,,,,,,
1264,Poland,,,,,,,,,,,,,,,,,,,,,,
1264,Germany,P,,,,,,,,,,,,,,,,,,,,,
1264,London,P,,,,,,,,,,,,,,,,,,,,,
1265,Augsburg,P,,,,,,,,,,,,,,,,,,,,,
1266,"Romsey, England",P,,,,,,,,,,,,,,,,,,,,,
1267,Vienna,P,,,,,,,,,,,,,,,,,,,,,
1267,Breslau,P,,,,,,,,,,,,,,,,,,,,,
1267,Pforzheim,P,,,,,,,,,,,,,,,,,,,,,
1267,Vienna,P,,,,,,,,,,,,,,,,,,,,,
1267,"Wroclaw, Poland",P,,,,,,,,,,,,,,,,,,,,,
1270,Erfurt,P,,,,,,,,,,,,,,,,,,,,,
1270,Singzig,P,,,,,,,,,,,,,,,,,,,,,
1270,Arnstadt,P,,,,,,,,,,,,,,,,,,,,,
1270,Magdeburg,P,,,,,,,,,,,,,,,,,,,,,
1270,Weissenberg,P,,,,,,,,,,,,,,,,,,,,,
1270,Coblenz,P,,,,,,,,,,,,,,,,,,,,,
1274,"Winchelsea, England",P,,,,,,,,,,,,,,,,,,,,,
1275,"Gloucester, England",P,,,,,,,,,,,,,,,,,,,,,
1275,England,P,,,,,,,,,,,,,,,,,,,,,
1275,"Andover, England",P,,,,,,,,,,,,,,,,,,,,,
1275,"Cambridge, England",P,,,,,,,,,,,,,,,,,,,,,
1275,"Worcester, England",P,,,,,,,,,,,,,,,,,,,,,
1275,"Marlborough, England",P,,,,,,,,,,,,,,,,,,,,,
1276,"Upper Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1276,"Fez, Morocco",P,,,,,,,,,,,,,,,,,,,,,
1276,"Fez, Morocco",,,,,"Massacre in Fez to kill all Jews stopped by intervention of the Emir[77]| In 1276 the Marinids had founded Fes el-Jdid, a new fortified administrative city to house their royal palace and army barracks, located to the west of Fes el-Bali (""Old Fez""). Later in the Marinid period the Jewish inhabitants of Fes el-Bali were all moved to a new district in the southern part of Fes el-Jdid.",,,,,,,,,,,,,,,,,
1278,England,P,,,,,,,,,,,,,,,,,,,,,
1278,"Cremona, Italy",P,,,,,,,,,,,,,,,,,,,,,
1278,"Genoa, Spain",P,,,,,,,,,,,,,,,,,,,,,
1278,Papal States,P,,,,,,,,,,,,,,,,,,,,,
1279,"Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1279,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1279,Poland,P,,,,,,,,,,,,,,,,,,,,,
1279,"Perugia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1283,"Bacharach, Germany",P,,,,,,,,,,,,,,,,,,,,,
1283,France,P,,,,,,,,,,,,,,,,,,,,,
1283,"Mainz/Mayence, Germany",P,,,,,,,,,,,,,,,,,,,,,
1283,"Windsor, England",P,,,,,,,,,,,,,,,,,,,,,
1285,"Munich, Germany",P,,,,,,,,,,,,,,,,,,,,,
1287,"Gascony, England",P,,,,,,,,,,,,,,,,,,,,,
1287,"Bacharach, Germany",P,,,,,,,,,,,,,,,,,,,,,
1288,Troyes,P,,,,,,,,,,,,,,,,,,,,,
1288,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1288,"Bonn, Germany",P,,,,,,,,,,,,,,,,,,,,,
1288,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1289,"Anjou, France",P,,,,,,,,,,,,,,,,,,,,,
1289,"Maine, France",P,,,,,,,,,,,,,,,,,,,,,
1289,"Gascony, England",P,,,,,,,,,,,,,,,,,,,,,
1290,"Apulia, Italy (and other towns)",P,,,,,,,,,,,,,,,,,,,,,
1290,Baghdad,P,,,,,,,,,,,,,,,,,,,,,
1290,"Alsace, France",P,,,,,,,,,,,,,,,,,,,,,
1290,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1290,England,P,,,,,,,,,,,,,,,,,,,,,
1291,"Niort, France",P,,,,,,,,,,,,,,,,,,,,,
1291,France,P,,,,,,,,,,,,,,,,,,,,,
1291,Persia,P,,,,,,,,,,,,,,,,,,,,,
1291,"Paris, France",P,,,,,,,,,,,,,,,,,,,,,
1292,Italy,P,,,,,,,,,,,,,,,,,,,,,
1293,"Berne, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1294,"Nevers, France",P,,,,,,,,,,,,,,,,,,,,,
1298,"Rindfleisch, Germany",P,,,,,,,,,,,,,,,,,,,,,
1298,"Franconia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1298,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1298,Austria,P,,,,,,,,,,,,,,,,,,,,,
1298,"Röttingen, Germany",P,,,,,,,,,,,,,,,,,,,,,
1298,"Würzburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1298,"Nuremberg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1298,Germany,P,,,,,,,,,,,,,,,,,,,,,
1301,Egypt,P,,,,,,,,,,,,,,,,,,,,,
1303,"Hanover, Germany; ",,,,,"A municipal law of 1303 prohibited anyone from molesting the Jews ""by word or deed."" The Jewish community grew significantly, and by 1340 ritual slaughter was permitted in the city. ",,,,,,,,,,,,,,,,,
1305,France,P,,,,,,,,,,,,,,,,,,,,,
1306,"Castelsarrasin, France",P,,,,,,,,,,,,,,,,,,,,,
1306,France,P,,,,,,,,,,,,,,,,,,,,,
1308,Strasbourg,P,,,,,,,,,,,,,,,,,,,,,
1310,"Provence, France",,,,,"Jews’ Expulsion requests from ecclesiastics denied by King Robert due to a Jewish bribe (https://www.jewishvirtuallibrary.org/provence). |In 1310 King Robert (1309–45) ordered his officers to assist the Jews to collect the debts which were due them. He refused to consider a request of several ecclesiastics to expel the Jews, but stringently applied the separationist measures which had been issued against them.  (source at JVL mentions this, not the bribe which seems like an important piece) ",1,1,1,,,,,,,,1,,,,,,0
1310,"Provence, France",P,,,,,,,,,,,,,,,,,,,,,
1310,Aragon,P,,,,,,,,,,,,,,,,,,,,,
1310,"Gerace, Italy",P,,,,,,,,,,,,,,,,,,,,,
1315,France,,,,,"In 1315, laws were made so Jews could not discuss their religion in public. They also had to wear a badge to identify themselves as Jews and were cautioned against committing usury, the practice of lending money at unreasonably high rates of interest, an accusation based in antisemitism. https://www.jpost.com/international/on-this-day-the-final-expulsion-of-jews-from-france-679636|On July 22, 1306, the Jews were expelled from France. It wasn't the first time this happened, nor would it be the last. Nine years later they were permitted to return before being banished again in 1322. But at the time it was the largest expulsion ever endured by the Jews in Europe, up to an estimated 100,000 people. https://www.haaretz.com/jewish/2016-07-22/ty-article/.premium/1306-king-philip-expels-all-frances-jews/0000017f-e6b0-dea7-adff-f7fba8f40000 |Nine years had hardly passed since the expulsion of 1306 when Louis X of France (1314–16) recalled the Jews. In an edict dated 28 July 1315, he permitted them to return for a period of twelve years, authorizing them to establish themselves in the cities in which they had lived before their banishment. He issued this edict in answer to the demands of the people. Geoffrey of Paris, the popular poet of the time, says in fact that the Jews were gentle in comparison with the Christians who had taken their place, and who had flayed their debtors alive; if the Jews had remained, the country would have been happier; for there were no longer any moneylenders at all.[48] The king probably had the interests of his treasury also in view. The profits of the former confiscations had gone into the treasury, and by recalling the Jews for only twelve years he would have an opportunity for ransoming them at the end of this period. It appears that they gave the sum of 122,500 livres for the privilege of returning. It is also probable, as Adolphe Vuitry states, that a large number of the debts owing to the Jews had not been recovered, and that the holders of the notes had preserved them; the decree of return specified that two-thirds of the old debts recovered by the Jews should go into the treasury. The conditions under which they were allowed to settle in the land are set forth in a number of articles; some of the guaranties which were accorded the Jews had probably been demanded by them and been paid for.[49]They were to live by the work of their hands or to sell merchandise of good quality; they were to wear the circular badge, and not discuss religion with laymen. They were not to be molested, either with regard to the chattels they had carried away at the time of their banishment, or with regard to the loans which they had made since then, or in general with regard to anything which had happened in the past. Their synagogues and their cemeteries were to be restored to them on condition that they would refund their value; or, if these could not be restored, the king would give them the necessary sites at a reasonable price. The books of the Law that had not yet been returned to them were also to be restored, with the exception of the Talmud. After the period of twelve years granted to them, the king might not expel the Jews again without giving them a year's time in which to dispose of their property and carry away their goods. They were not to lend on usury, and no one was to be forced by the king or his officers to repay to them usurious loans.If they engaged in pawnbroking, they were not to take more than two deniers in the pound a week; they were to lend only on pledges. Two men with the title ""auditors of the Jews"" were entrusted with the execution of this ordinance and were to take cognizance of all claims that might arise in connection with goods belonging to the Jews that had been sold before the expulsion for less than half of what was regarded as a fair price. The king finally declared that he took the Jews under his special protection and that he desired to have their persons and property protected from all violence, injury, and oppression.",,,,,,,,,,,,,,,,,
1318,Tabriz,P,,,,,,,,,,,,,,,,,,,,,
1319,"Breslau, Germany",P,,,,,,,,,,,,,,,,,,,,,
1320,Perpigon,P,,,,,,,,,,,,,,,,,,,,,
1320,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
1320,"The Papal States, Italy",P,,,,,,,,,,,,,,,,,,,,,
1320,"Castelsarrasin, France",P,,,,,,,,,,,,,,,,,,,,,
1320,France,P,,,,,,,,,,,,,,,,,,,,,
1320,"The Papal States, Italy",,,,,"Jews Expelled by Queen Sancia but soon readmitted due to a bribe (C. Roth, ‘The History of the Jews of Italy’, p. 142).",0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0
1321,Damascus,P,,,,,,,,,,,,,,,,,,,,,
1321,Central France,P,,,,,,,,,,,,,,,,,,,,,
1321,Teruel,P,,,,,,,,,,,,,,,,,,,,,
1322,France,P,,,,,,,,,,,,,,,,,,,,,
1325,"Brindisi, Italy",P,,,,,,,,,,,,,,,,,,,,,
1326,"Pressburg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1327,"Iglasias, Italy",P,,,,,,,,,,,,,,,,,,,,,
1328,Estella,P,,,,,,,,,,,,,,,,,,,,,
1328,"Savoy, Germany",P,,,,,,,,,,,,,,,,,,,,,
1328,"Navarre, Spain",P,,,,,,,,,,,,,,,,,,,,,
1329,"Naples, Italy",P,,,,,,,,,,,,,,,,,,,,,
1330,"Guestrow, Germany",P,,,,,,,,,,,,,,,,,,,,,
1333,Baghdad,P,,,,,,,,,,,,,,,,,,,,,
1336,Ribeauvillé,P,,,,,,,,,,,,,,,,,,,,,
1336,"Cividale, Italy",P,,,,,,,,,,,,,,,,,,,,,
1336,"Franconia, France",P,,,,,,,,,,,,,,,,,,,,,
1336,Ensisheim,P,,,,,,,,,,,,,,,,,,,,,
1336,Muelhausen,P,,,,,,,,,,,,,,,,,,,,,
1336,Rouffach,P,,,,,,,,,,,,,,,,,,,,,
1338,"Deggendorf, Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1338,"Wolfsberg, Austria",P,,,,,,,,,,,,,,,,,,,,,
1338,"Alsace, France",P,,,,,,,,,,,,,,,,,,,,,
1338,Bavaria,P,,,,,,,,,,,,,,,,,,,,,
1338,Bohemia,P,,,,,,,,,,,,,,,,,,,,,
1338,Austria,P,,,,,,,,,,,,,,,,,,,,,
1338,Styria,P,,,,,,,,,,,,,,,,,,,,,
1338,"Pulkau, Austria",P,,,,,,,,,,,,,,,,,,,,,
1338,Carinthia,P,,,,,,,,,,,,,,,,,,,,,
1343,"Germany, Western Europe, Poland",P,,,,,,,,,,,,,,,,,,,,,
1344,"Speyer, Germany",P,,,,,,,,,,,,,,,,,,,,,
1345,"Breman, Germany",P,,,,,,,,,,,,,,,,,,,,,
1347,Colmar,P,,,,,,,,,,,,,,,,,,,,,
1347,Sélestat,P,,,,,,,,,,,,,,,,,,,,,
1347,Obernai,P,,,,,,,,,,,,,,,,,,,,,
1347,Rosheim,P,,,,,,,,,,,,,,,,,,,,,
1347,Kaysersberg,P,,,,,,,,,,,,,,,,,,,,,
1347,Turckheim,P,,,,,,,,,,,,,,,,,,,,,
1347,Munster,P,,,,,,,,,,,,,,,,,,,,,
1347,"Messina, Italy",P,,,,,,,,,,,,,,,,,,,,,
1347,Mulhouse,P,,,,,,,,,,,,,,,,,,,,,
1348,"Tuscany, Italy",P,,,,,,,,,,,,,,,,,,,,,
1348,Spain,P,,,,,,,,,,,,,,,,,,,,,
1348,France,P,,,,,,,,,,,,,,,,,,,,,
1348,Austria,P,,,,,,,,,,,,,,,,,,,,,
1348,"Parma, Italy",P,,,,,,,,,,,,,,,,,,,,,
1348,"Mantua, Italy",P,,,,,,,,,,,,,,,,,,,,,
1348,Switzerland,P,,,,,,,,,,,,,,,,,,,,,
1348,Germany,P,,,,,,,,,,,,,,,,,,,,,
1349,"Hielbronn, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Berlin, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Paltinate, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1349,Swabia,P,,,,,,,,,,,,,,,,,,,,,
1349,"Heilbronn, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Oppenheim, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Mainz/Mayence, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Worms, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Zurich, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1349,"Speyer, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Erfurt, Germany ",P,,,,,,,,,,,,,,,,,,,,,
1349,"Basel, Switzerland",P,,,,,,,,,,,,,,,,,,,,,
1349,"Wurzburg, Lower Franconia, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Dresden, Saxony, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Breslau, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Strasbourg, Germany",P,,,,,,,,,,,,,,,,,,,,,
1349,"Cologne, Germany",P,,,,,,,,,,,,,,,,,,,,,
1350,Brussels,P,,,,,,,,,,,,,,,,,,,,,
1350,Slobodka predating Kaunas,,,,,,,,,,,,,,,,,,,,,,
1352,Bulgaria,P,,,,,,,,,,,,,,,,,,,,,
